,Account,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,@BBCNews,-0.5574,Tue Apr 10 01:54:42 +0000 2018,0.66,0.34,0.0,1
1,@BBCNews,-0.4215,Tue Apr 10 01:54:42 +0000 2018,0.781,0.219,0.0,2
2,@BBCNews,-0.34,Tue Apr 10 01:04:39 +0000 2018,0.769,0.231,0.0,3
3,@BBCNews,0.0,Tue Apr 10 00:55:45 +0000 2018,1.0,0.0,0.0,4
4,@BBCNews,0.0772,Mon Apr 09 23:53:09 +0000 2018,0.843,0.0,0.157,5
5,@BBCNews,0.743,Mon Apr 09 23:44:05 +0000 2018,0.488,0.0,0.512,6
6,@BBCNews,0.8176,Mon Apr 09 22:39:28 +0000 2018,0.452,0.0,0.548,7
7,@BBCNews,-0.8519,Mon Apr 09 21:43:45 +0000 2018,0.52,0.48,0.0,8
8,@BBCNews,-0.3612,Mon Apr 09 21:40:28 +0000 2018,0.615,0.263,0.123,9
9,@BBCNews,0.0,Mon Apr 09 21:40:22 +0000 2018,1.0,0.0,0.0,10
10,@BBCNews,-0.3818,Mon Apr 09 21:40:13 +0000 2018,0.652,0.245,0.103,11
11,@BBCNews,-0.6486,Mon Apr 09 21:40:07 +0000 2018,0.619,0.381,0.0,12
12,@BBCNews,-0.296,Mon Apr 09 21:24:38 +0000 2018,0.833,0.167,0.0,13
13,@BBCNews,-0.6597,Mon Apr 09 21:19:39 +0000 2018,0.714,0.286,0.0,14
14,@BBCNews,-0.4019,Mon Apr 09 21:19:35 +0000 2018,0.787,0.213,0.0,15
15,@BBCNews,0.0,Mon Apr 09 21:07:56 +0000 2018,1.0,0.0,0.0,16
16,@BBCNews,-0.3182,Mon Apr 09 21:07:48 +0000 2018,0.859,0.141,0.0,17
17,@BBCNews,0.0,Mon Apr 09 20:34:30 +0000 2018,1.0,0.0,0.0,18
18,@BBCNews,-0.6597,Mon Apr 09 20:33:33 +0000 2018,0.526,0.474,0.0,19
19,@BBCNews,-0.7845,Mon Apr 09 20:08:24 +0000 2018,0.655,0.345,0.0,20
20,@BBCNews,-0.5574,Tue Apr 10 01:54:42 +0000 2018,0.66,0.34,0.0,21
21,@BBCNews,-0.4215,Tue Apr 10 01:54:42 +0000 2018,0.781,0.219,0.0,22
22,@BBCNews,-0.34,Tue Apr 10 01:04:39 +0000 2018,0.769,0.231,0.0,23
23,@BBCNews,0.0,Tue Apr 10 00:55:45 +0000 2018,1.0,0.0,0.0,24
24,@BBCNews,0.0772,Mon Apr 09 23:53:09 +0000 2018,0.843,0.0,0.157,25
25,@BBCNews,0.743,Mon Apr 09 23:44:05 +0000 2018,0.488,0.0,0.512,26
26,@BBCNews,0.8176,Mon Apr 09 22:39:28 +0000 2018,0.452,0.0,0.548,27
27,@BBCNews,-0.8519,Mon Apr 09 21:43:45 +0000 2018,0.52,0.48,0.0,28
28,@BBCNews,-0.3612,Mon Apr 09 21:40:28 +0000 2018,0.615,0.263,0.123,29
29,@BBCNews,0.0,Mon Apr 09 21:40:22 +0000 2018,1.0,0.0,0.0,30
30,@BBCNews,-0.3818,Mon Apr 09 21:40:13 +0000 2018,0.652,0.245,0.103,31
31,@BBCNews,-0.6486,Mon Apr 09 21:40:07 +0000 2018,0.619,0.381,0.0,32
32,@BBCNews,-0.296,Mon Apr 09 21:24:38 +0000 2018,0.833,0.167,0.0,33
33,@BBCNews,-0.6597,Mon Apr 09 21:19:39 +0000 2018,0.714,0.286,0.0,34
34,@BBCNews,-0.4019,Mon Apr 09 21:19:35 +0000 2018,0.787,0.213,0.0,35
35,@BBCNews,0.0,Mon Apr 09 21:07:56 +0000 2018,1.0,0.0,0.0,36
36,@BBCNews,-0.3182,Mon Apr 09 21:07:48 +0000 2018,0.859,0.141,0.0,37
37,@BBCNews,0.0,Mon Apr 09 20:34:30 +0000 2018,1.0,0.0,0.0,38
38,@BBCNews,-0.6597,Mon Apr 09 20:33:33 +0000 2018,0.526,0.474,0.0,39
39,@BBCNews,-0.7845,Mon Apr 09 20:08:24 +0000 2018,0.655,0.345,0.0,40
40,@BBCNews,-0.5574,Tue Apr 10 01:54:42 +0000 2018,0.66,0.34,0.0,41
41,@BBCNews,-0.4215,Tue Apr 10 01:54:42 +0000 2018,0.781,0.219,0.0,42
42,@BBCNews,-0.34,Tue Apr 10 01:04:39 +0000 2018,0.769,0.231,0.0,43
43,@BBCNews,0.0,Tue Apr 10 00:55:45 +0000 2018,1.0,0.0,0.0,44
44,@BBCNews,0.0772,Mon Apr 09 23:53:09 +0000 2018,0.843,0.0,0.157,45
45,@BBCNews,0.743,Mon Apr 09 23:44:05 +0000 2018,0.488,0.0,0.512,46
46,@BBCNews,0.8176,Mon Apr 09 22:39:28 +0000 2018,0.452,0.0,0.548,47
47,@BBCNews,-0.8519,Mon Apr 09 21:43:45 +0000 2018,0.52,0.48,0.0,48
48,@BBCNews,-0.3612,Mon Apr 09 21:40:28 +0000 2018,0.615,0.263,0.123,49
49,@BBCNews,0.0,Mon Apr 09 21:40:22 +0000 2018,1.0,0.0,0.0,50
50,@BBCNews,-0.3818,Mon Apr 09 21:40:13 +0000 2018,0.652,0.245,0.103,51
51,@BBCNews,-0.6486,Mon Apr 09 21:40:07 +0000 2018,0.619,0.381,0.0,52
52,@BBCNews,-0.296,Mon Apr 09 21:24:38 +0000 2018,0.833,0.167,0.0,53
53,@BBCNews,-0.6597,Mon Apr 09 21:19:39 +0000 2018,0.714,0.286,0.0,54
54,@BBCNews,-0.4019,Mon Apr 09 21:19:35 +0000 2018,0.787,0.213,0.0,55
55,@BBCNews,0.0,Mon Apr 09 21:07:56 +0000 2018,1.0,0.0,0.0,56
56,@BBCNews,-0.3182,Mon Apr 09 21:07:48 +0000 2018,0.859,0.141,0.0,57
57,@BBCNews,0.0,Mon Apr 09 20:34:30 +0000 2018,1.0,0.0,0.0,58
58,@BBCNews,-0.6597,Mon Apr 09 20:33:33 +0000 2018,0.526,0.474,0.0,59
59,@BBCNews,-0.7845,Mon Apr 09 20:08:24 +0000 2018,0.655,0.345,0.0,60
60,@BBCNews,-0.5574,Tue Apr 10 01:54:42 +0000 2018,0.66,0.34,0.0,61
61,@BBCNews,-0.4215,Tue Apr 10 01:54:42 +0000 2018,0.781,0.219,0.0,62
62,@BBCNews,-0.34,Tue Apr 10 01:04:39 +0000 2018,0.769,0.231,0.0,63
63,@BBCNews,0.0,Tue Apr 10 00:55:45 +0000 2018,1.0,0.0,0.0,64
64,@BBCNews,0.0772,Mon Apr 09 23:53:09 +0000 2018,0.843,0.0,0.157,65
65,@BBCNews,0.743,Mon Apr 09 23:44:05 +0000 2018,0.488,0.0,0.512,66
66,@BBCNews,0.8176,Mon Apr 09 22:39:28 +0000 2018,0.452,0.0,0.548,67
67,@BBCNews,-0.8519,Mon Apr 09 21:43:45 +0000 2018,0.52,0.48,0.0,68
68,@BBCNews,-0.3612,Mon Apr 09 21:40:28 +0000 2018,0.615,0.263,0.123,69
69,@BBCNews,0.0,Mon Apr 09 21:40:22 +0000 2018,1.0,0.0,0.0,70
70,@BBCNews,-0.3818,Mon Apr 09 21:40:13 +0000 2018,0.652,0.245,0.103,71
71,@BBCNews,-0.6486,Mon Apr 09 21:40:07 +0000 2018,0.619,0.381,0.0,72
72,@BBCNews,-0.296,Mon Apr 09 21:24:38 +0000 2018,0.833,0.167,0.0,73
73,@BBCNews,-0.6597,Mon Apr 09 21:19:39 +0000 2018,0.714,0.286,0.0,74
74,@BBCNews,-0.4019,Mon Apr 09 21:19:35 +0000 2018,0.787,0.213,0.0,75
75,@BBCNews,0.0,Mon Apr 09 21:07:56 +0000 2018,1.0,0.0,0.0,76
76,@BBCNews,-0.3182,Mon Apr 09 21:07:48 +0000 2018,0.859,0.141,0.0,77
77,@BBCNews,0.0,Mon Apr 09 20:34:30 +0000 2018,1.0,0.0,0.0,78
78,@BBCNews,-0.6597,Mon Apr 09 20:33:33 +0000 2018,0.526,0.474,0.0,79
79,@BBCNews,-0.7845,Mon Apr 09 20:08:24 +0000 2018,0.655,0.345,0.0,80
80,@BBCNews,-0.5574,Tue Apr 10 01:54:42 +0000 2018,0.66,0.34,0.0,81
81,@BBCNews,-0.4215,Tue Apr 10 01:54:42 +0000 2018,0.781,0.219,0.0,82
82,@BBCNews,-0.34,Tue Apr 10 01:04:39 +0000 2018,0.769,0.231,0.0,83
83,@BBCNews,0.0,Tue Apr 10 00:55:45 +0000 2018,1.0,0.0,0.0,84
84,@BBCNews,0.0772,Mon Apr 09 23:53:09 +0000 2018,0.843,0.0,0.157,85
85,@BBCNews,0.743,Mon Apr 09 23:44:05 +0000 2018,0.488,0.0,0.512,86
86,@BBCNews,0.8176,Mon Apr 09 22:39:28 +0000 2018,0.452,0.0,0.548,87
87,@BBCNews,-0.8519,Mon Apr 09 21:43:45 +0000 2018,0.52,0.48,0.0,88
88,@BBCNews,-0.3612,Mon Apr 09 21:40:28 +0000 2018,0.615,0.263,0.123,89
89,@BBCNews,0.0,Mon Apr 09 21:40:22 +0000 2018,1.0,0.0,0.0,90
90,@BBCNews,-0.3818,Mon Apr 09 21:40:13 +0000 2018,0.652,0.245,0.103,91
91,@BBCNews,-0.6486,Mon Apr 09 21:40:07 +0000 2018,0.619,0.381,0.0,92
92,@BBCNews,-0.296,Mon Apr 09 21:24:38 +0000 2018,0.833,0.167,0.0,93
93,@BBCNews,-0.6597,Mon Apr 09 21:19:39 +0000 2018,0.714,0.286,0.0,94
94,@BBCNews,-0.4019,Mon Apr 09 21:19:35 +0000 2018,0.787,0.213,0.0,95
95,@BBCNews,0.0,Mon Apr 09 21:07:56 +0000 2018,1.0,0.0,0.0,96
96,@BBCNews,-0.3182,Mon Apr 09 21:07:48 +0000 2018,0.859,0.141,0.0,97
97,@BBCNews,0.0,Mon Apr 09 20:34:30 +0000 2018,1.0,0.0,0.0,98
98,@BBCNews,-0.6597,Mon Apr 09 20:33:33 +0000 2018,0.526,0.474,0.0,99
99,@BBCNews,-0.7845,Mon Apr 09 20:08:24 +0000 2018,0.655,0.345,0.0,100
100,@CBSNews,0.4939,Tue Apr 10 04:12:04 +0000 2018,0.814,0.0,0.186,101
101,@CBSNews,0.0,Tue Apr 10 04:03:04 +0000 2018,1.0,0.0,0.0,102
